,property_type,sector_info,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features
2876,ind. house,sector 24,dlf city plots phase 3,5.0,34083.0,1467.0,Plot area 163(136.29 sq.m.),13.0,13.0,3+ ,Pooja Room,4.0,North,0 to 1 Year Old,"['Dlf phase 3 metro station', 'Micromax moulsari avenue metro station', 'Dlf phase 2 metro station', 'Guru dronacharya metro station', 'Indusind bank cyber city metro station', 'Vodafone belvedere towers metro station', 'Shri Shiv Shakthi Mandir', 'Icici bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Abn amro bank ATM', 'Citibank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Dental Cure and Care Centre', ""Dr. Khullar's Dental Clinic"", 'Garg Dental Care', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'Dental Harbour', 'Upkar Clinic', 'Asha Multispeciality Clinic', ""St Stephen's Hospital Health Care Facility"", 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Cosmodentz Dental Clinic', 'RBS Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Krishna Family Clinic', 'Durga Poly Clinic', 'Anahat Hospital', 'Pharmacy', 'Shri Balaji Medical Store', 'State bank of india', 'Icici bank', 'Deutsche bank', 'Standard chartered bank', 'PVR Cinames', 'The God Father', 'Machaan', 'Food Court', 'Mc Donalds', 'barrique', ""McDonald's""]","['1 Water Purifier', '1 Fridge', '21 Fan', '1 Exhaust Fan', '1 Dining Table', '13 Geyser', '1 Stove', '20 Light', '1 Chimney', '9 TV', '18 AC', '1 Modular Kitchen', '1 Curtains', '7 Wardrobe', '14 Bed', '1 Sofa', '1 Microwave', '1 Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3043,ind. house,sector 105,rajendra park gurgaon,0.37,10277.0,360.0,Plot area 360(33.45 sq.m.),4.0,3.0,2 ,not available,3.0,East,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Chintapurni Mandir', 'State bank ATM', 'R K Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'Jiya Clinic', 'Sneh Hospital Gurgaon', 'Dr. Mittal Clinic', 'Kalyan Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Prateek Nursing Home And Polyclinic', 'Yashroop Medical Centre', 'Dr. Sindhu Clinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Kr Dental Hub', 'Shree Krishna Hospital Gurgaon', 'Gurgaon Eye Centre', 'Dr. Ashok Jain', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",[],
2843,flat,sector 12,ss residency,0.53,4818.0,1100.04,Super Built up area 1100(102.19 sq.m.),3.0,3.0,2 ,not available,2.0,,1 to 5 Year Old,"['Hanuman Mandir', 'State bank of india ATM', 'Hdfc bank ATM', 'Dr. Sandeep Chauhan', 'Ahooja Eye and Dental Institute Hospital', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Dental Health Centre', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Sharma Hospital Gurgaon', 'Gupta Hospital Gurgaon', 'Lall Nursing and Maternity Home', 'Om Charitable Dental & Implant Centre', 'Lall Eye Care Centre', 'M Goel Hospital', 'Lotus Hospital Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'Kharbanda Maternity and Nursing Home', 'Mamta Hospital Gurgaon', 'Lalit Dental Care', 'Jackson Hospital', 'Dr. Ajay S. Gupta Clinic', 'Kidney Clinic', 'Saraswati Hospital Gurgaon', 'Aarvy Hospital', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Sarvejeet Singh', 'Dayal Eye & Maternity Centre', 'Triveni Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Kalyani Hospital Gurgaon', 'M.S Hospital', 'My Care Clinic', 'Bindal Clinic', 'Ahmed Hospital Multi Speciality', 'Nidhi Clinic', 'Dr. Agya Ram Sharma Clinic', 'Thakral Nursing and Maternity Home', 'Dr. Babita Sharma', 'Ravi Clinic and Health Care Centre', 'Sparsh Hospital Gurgaon', 'Indian Oil', 'IBP Petrol Station', 'Indian Oil', 'Punjab national bank', 'State bank of india sbi', 'Rang Parivartan', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '10 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Water Storage']"
1819,flat,sector 109 ,ats kocoon,1.7,9742.0,1745.02,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3 ,not available,22.0,East,1 to 5 Year Old,"['Jagdish Super Market', 'Dwarka', 'Euro International School', 'Gyaananda School', 'SCR Model School', 'Radha Krishan Mandir', 'ICICI BANK ATM, Annapurna MKT', 'ESIC Dispensary', 'IGIA Airport', 'Canara Bank New Palam Vihar', 'Gurgaon Gramin Bank', 'Daultabad Stadium', 'Bharat Petroleum Shree Shyam Filling', 'The Club, International City', 'Conscient One']","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
2846,flat,sector 37c ,corona optus,1.5,6361.0,2358.12,Super Built up area 2358(219.07 sq.m.),3.0,4.0,3+ ,"Servant Room,Others",14.0,North-East,0 to 1 Year Old,"['The Esplanade Mall', 'Gurugram Road', 'Delhi Jaipur Expressway', 'Green Field Public School', 'Gurugram University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Kadipur Industrial Area', 'Holiday Inn Gurugram Sector 90', 'Tau DeviLal Sports Complex', 'Heritage badminton academy', 'SkyJumper Trampoline Park']","['3 Wardrobe', '7 Fan', '3 Geyser', '15 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3387,ind. house,sector 108 ,,1.34,5000.0,2680.0,Built Up area: 2680 (248.98 sq.m.),1.0,1.0,0,not available,1.0,,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
3673,ind. house,sector 66 ,emaar mgf marbella,18.0,55556.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3+ ,"Pooja Room,Study Room,Servant Room",3.0,East,5 to 10 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['1 Water Purifier', '16 Fan', '1 Fridge', '1 Exhaust Fan', '7 Geyser', '1 Stove', '30 Light', '10 AC', '1 Chimney', '1 Modular Kitchen', '20 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Curtains', 'No Dining Table', 'No Sofa', 'No TV']","['High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
1495,flat,sector 109 ,ats tourmaline,1.45,6744.0,2150.06,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),3.0,4.0,3+ ,Servant Room,4.0,North-West,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'NeoSquare Mall', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Accenture DDC5', 'Hyatt Place Gurgaon Udyog Vihar', 'Hamoni Golf Camp', 'Nehru Stadium']","['5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']"
3510,ind. house,sector 26,dlf city plots,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5.0,5.0,3 ,"Pooja Room,Study Room,Servant Room,Store Room",2.0,East,10+ Year Old,"['Phase 2 Metro Station', 'Grand Mall', 'Jacaranda Marg', 'NH 148A', 'Lancers International School', 'The NorthCap University', 'RBS HOSPITAL', 'Indira Gandhi Intl Airport']","['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '5 Geyser', '7 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
3240,ind. house,sector 3a,not applicable,0.4,9259.0,432.0,Plot area 432(40.13 sq.m.),1.0,1.0,1 ,not available,1.0,,5 to 10 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Kr Dental Hub', 'Dr. Hitesh Dawar', 'Sneh Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Esic Hospital Gurugram', 'Dr. Ashok Jain', 'Dr. Sindhu Clinic', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', 'R K Hospital Gurgaon', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Taneja Hospital', 'Aryan Hospital', 'Chirag Hospital Pvt. Ltd', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Sparsh Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Dr. Madan Clinic', 'Bhatnagar Maternity and Nursing Home', 'Dr. Agya Ram Sharma Clinic', 'Dev Man Kathuria Clinic', 'GH Gurgaon', 'Swastik Maternity and Medical Centre', 'Bindal Clinic', 'Dr. Sarvejeet Singh', 'M.S Hospital', 'My Care Clinic', 'Satyam Hospital Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",[],
